city_id,empirical_cluster,output_decomp_centered_estimated_cluster,output_decomp_centered_profile_corr,output_decomp_no_center_estimated_cluster,output_decomp_no_center_profile_corr,series_index
0,0,2,0.4202250702985494,0,0.8120274286985467,0
0,2,0,0.11346686963544912,2,0.5816967262422037,1
0,2,1,0.10350543880909205,1,0.3874170426407473,2
0,0,1,0.40708966010657643,1,0.15877359445460215,3
0,2,1,0.27841303010189233,1,0.2145289172926041,4
0,2,1,0.3113858465981834,0,0.5096599917039328,5
0,1,1,-0.17072165116762225,1,0.5127998966720356,6
0,3,1,0.6361961159808822,0,-0.07601363404927305,7
0,2,0,0.21779942289678023,0,0.7184089287966817,8
0,2,0,0.14015923265917204,2,0.6360552116936735,9
0,1,1,-0.22680385833275313,1,0.45254849058734836,10
0,2,1,0.2425907847566059,0,0.4180670247419139,11
0,2,2,0.16462467909836662,3,0.8408027319272617,12
0,2,3,0.029701566174520695,1,0.10816571522449991,13
0,2,3,0.10538435605368429,2,0.47288366769423085,14
0,2,0,0.1823401496050916,0,0.6287853504639749,15
0,2,0,0.019022447055940583,2,0.4852847636103147,16
0,0,2,0.5368080761699824,2,0.7619972498628828,17
0,0,0,0.3807591287672914,3,0.7578151571745766,18
0,1,2,-0.10668115624876717,3,0.8278880672590005,19
0,2,3,0.08891541276034702,1,0.3891072874947179,20
0,2,1,0.2824323854047592,1,0.4331592712589498,21
0,2,0,-0.009178602635192858,3,0.767292913860456,22
0,3,3,0.2653247170679182,3,0.6310484021092999,23
0,2,1,0.251289362049334,0,0.45748569965816366,24
0,2,1,0.15230261972028247,1,0.33956909054022455,25
0,0,3,0.1245275413037425,1,0.31238226557060694,26
0,0,1,0.31381291167843917,1,0.3397067145906665,27
0,2,0,0.15432319462303284,2,0.6189919063953764,28
0,2,3,-0.014584402530950481,2,0.49662956027012384,29
0,3,3,0.46729241338773664,3,0.5410263598342608,30
0,2,0,0.2732501715671946,3,0.6991734392552588,31
0,1,1,-0.2531760075708933,1,0.5594961817900674,32
0,2,3,-0.11516491558675808,1,0.5736634091033534,33
0,0,0,0.5413632211431321,3,0.7589819156333498,34
0,2,1,-0.0319332375807405,1,0.5415410361913773,35
0,0,1,0.5031364643763236,1,0.01737963853183939,36
0,2,1,0.0022971353580030496,1,0.4799746960337484,37
0,0,2,0.6773666451894091,1,-0.0972168785534793,38
0,1,3,-0.23968780219118857,3,0.65316279639144,39
0,2,1,0.1940821194984702,1,0.12536953269064058,40
0,1,1,-0.44836172056730916,3,0.8118653758019163,41
0,2,0,0.26260535930520484,3,0.8376531127466598,42
0,2,3,-0.04722742162641315,3,0.8083841009671491,43
0,2,1,-0.14517519393262623,1,0.5664148006431303,44
0,2,3,0.07073047467795461,1,0.3388748222548911,45
0,2,1,-0.08087038480069857,2,0.5576436820577493,46
0,0,3,0.4361133117724808,0,0.2919764638590376,47
0,2,3,-0.031136733487784826,2,0.6445392670843338,48
0,0,3,0.38741654935207315,0,0.23388369784581367,49
